ms,degC
29561,36.00
31584,36.00
-31929,36.00
-29904,36.00
-27881,36.00
-25859,36.00
-23836,36.00
-21814,36.00
-19791,36.00
-17767,36.30
-15743,36.30
-13720,36.30
-11698,36.30
-9675,36.30
-7653,36.30
-5629,36.30
-3605,36.30
-1582,36.30
441,36.30
2463,36.30
4486,36.30
6508,36.30
8532,36.30
10556,36.30
12578,36.30
14601,36.30
16623,36.30
18647,36.60
20671,36.60
22693,36.60
24716,36.60
26738,36.60
28763,36.60
30786,36.60
-32728,36.60
-30705,36.60
-28683,36.60
-26658,36.60
-24635,36.60
-22612,36.60
-20590,36.60
-18568,36.70
-16543,36.70
-14521,36.70
-12498,36.70
-10476,36.70
-8452,36.70
-6428,36.70
-4406,36.70
-2383,36.70
